v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Big Linked							Taxable Goods	0	EOREOR
DVD-ABUG	dvd/a_bugs_life.gif	A Bug's Life "Multi Pak" Special 2003 Collectors Edition	A Bug's Life "Multi Pak" Special 2003 Collectors Edition  <br>  Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Digital 5.1 / Dobly Surround Stereo.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 91 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.abugslife.com	35.99	7	2005-02-21 00:00:00	2003-11-07 22:03:45	796	Warner	Big Linked							Taxable Goods	1	EOREOR
TESTMINUNITSNOMIX	sample_image.gif	A Mixed OFF Product with Attributes	This product has attributes and a minimum qty and units.  <br><br>    Mixed is OFF this means you CANNOT mix attributes to make the minimums and units.  <br><br>    The Size Option Value: Select from Below ... is a Display Only Attribute.   <br><br>    This means that the product cannot be added to the Shopping Cart if that Option Value is selected. If it is still selected, then an error is triggered when the Add to Cart is pressed with a warning to the customer on what the error is.  <br><br>    No checkout is allowed when errors exist.		100	1		2003-12-25 21:38:59	999		Big Linked							Taxable Goods	1	EOREOR
TESTMINUNITSMIX	sample_image.gif	A Mixed ON Product with Attributes	This product has attributes and a minimum qty and units.  <br><br>    Mixed is ON this means you CAN mix attributes to make the minimums and units.  <br><br>    Select from Below is a Display Only Attribute. This means that it cannot be added to the cart. If it is, then an error is triggered.  <br><br>    No checkout is allowed when errors exist.		100	1		2003-12-25 21:53:07	981		Big Linked							Taxable Goods	1	EOREOR
MAXSAMPLE-1	waybkgnd.gif	A Maximum Sample of 1	This product only allows Quantity 1 because the Products Qty Maximum is set to 1.  <br><br>    This means there will be no Quantity box.  <br><br>    Add button will not add more than a total of 1 to the Shopping Cart.  <br><br>		50	1		2004-01-11 14:10:59	999		Big Linked							Taxable Goods	1	EOREOR
MAXSAMPLE-3	waybkgnd.gif	A Maximum Sample of 3	This product only allows Quantity 1 because the Products Qty Maximum is set to 3.  <br><br>    This means there will be a Quantity box.  <br><br>    Add button will not add more than a total of 3 to the Shopping Cart.  <br><br>		50	1		2004-01-11 14:36:08	1000		Big Linked							Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
TEST1	no_image_product.gif	Test One	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:26:23	999	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
TEST2	no_image_product.gif	Test Two	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:24:57	998	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
TEST3	no_image_product.gif	<strong>Test<br /> Three</strong>	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:27:24	995	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
MINUNITSMIX	b_c_grid.gif	Min and Units MIX	This product is purchased based on minimums and units.  <br><br>    The Min is set to 6 and the units is set to 3  <br><br>    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br><br>    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br><br>    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br><br>    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br><br>    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br><br>    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br><br>    Product Quantity Min/Unit Mix is for when a product has attributes.  <br><br>    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br><br>    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br><br>    This product has the Product Qty Min/Unit Mix set to ON		25	1		2003-12-28 23:26:44	991		Test Examples							Taxable Goods	1	EOREOR
MINUNITSNOMIX	waybkgnd.gif	Min and Units NOMIX	This product is purchased based on minimums and units.  <br><br>    The Min is set to 6 and the units is set to 3  <br><br>    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br><br>    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br><br>    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br><br>    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br><br>    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br><br>    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br><br>    Product Quantity Min/Unit Mix is for when a product has attributes.  <br><br>    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br><br>    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br><br>    This product has the Product Qty Min/Unit Mix set to OFF		25	1		2003-12-29 23:19:13	991		Test Examples							Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes	The Product Price is set to 0.00  <br><br>    The Product Priced by Attributes is set to YES  <br><br>    The attribute prices are defined without the price prefix of +  <br><br>    The Display Price is made up of the lowest attribute price from each Option Name group.  <br><br>    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br><br>    The price prefix of the + is not used as we are not "adding" to the display price.  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	0	45		2003-12-31 14:36:57	700	Hewlett Packard	Test Examples							Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes with Special% no SALE	The Product Price is set to 0.00 Special is set to 20%  <br><br>    The Product Priced by Attributes is set to YES  <br><br>    The attribute prices are defined without the price prefix of +  <br><br>    The Display Price is made up of the lowest attribute price from each Option Name group.  <br><br>    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br><br>    The price prefix of the + is not used as we are not "adding" to the display price.  <br><br>    The Colors attributes are, their prices before the Special discount is applied:<br>  White $499.99<br>  Black $519.00<br>  Blue $539.00  <br><br>    The Specials Price is a flat $100 discount. This $100 discount is applied to all attributes marked attributes_discounted Yes.	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	0	45		2004-01-02 15:34:49	700	Hewlett Packard	Test Examples							Taxable Goods	1	EOREOR
Test25-AttrAll	test_demo.jpg	TEST 25% Special Attribute Priced	Priced by Attributes - Product price is set to $0.00  <br><br>  All attributes are marked to make the price.    <br><br>  Product is $0  <br><br>  Special is 25%  <br><br>		0	1		2004-01-04 01:28:52	1000		Test Examples							Taxable Goods	1	EOREOR
Test25	test_demo.jpg	TEST 25% Special	Product is $100.00  <br><br>  Special is 25%  <br><br>		100	1		2004-01-04 01:31:06	1000		Test Examples							Taxable Goods	1	EOREOR
Test120	test_demo.jpg	TEST $120	Product is $120  <br><br>    There is no special and no sale on this product.  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75<br>  - Green $40  <br><br>    Size:<br>  Select from Below:<br>  X-Small $40.00<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - None<br>   - Embossed Collector's Tin $40.00<br>  - Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    Features: <br>  Quality Design<br>  Custom Handling<br>  Same Day Shipping<br>  <br><br>    NOTE: <b>Select from below ...</b> is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>    The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>    The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>    NOTE: <b>None</b> is similar to Display Only, but this can be used when for when no option value is required.  <br><br>    Its value is set the value to $0.00 and it is NOT marked Display Only.   <br><br>    Because its value is $0.00 if included in the Attributes Based Price on products Priced by Attributes, this Options group would not have any value included in the calculated price.  <br><br>    NOTE: The Option Name: Featured is a READ ONLY Option Type  <br><br>  This can be for repeatative information or anything that occures on many products but functions like an attribute in setting up the information. It does not get added to the Shopping Cart nor display on the Order. They should be marked exclude from Attribute Based Price.  <br><br>		120	1		2004-01-04 15:05:10	999		Test Examples							Taxable Goods	1	EOREOR
Test90	test_demo.jpg	TEST $120 Special $90	Product is $120  <br><br>    There is a $90.00 or 25% Special and no sale on this product.  <br><br>      Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-04 15:19:00	1000		Test Examples							Taxable Goods	1	EOREOR
FreeShipping	small_00.jpg	Free Shipping Product with Weight	This product has Free Shipping.  <br><br>    The weight is set to 5  <br><br>    While the weight is set to 5, it has the Always Free Shipping set to YES and the Free Shipping Module is installed.  <br><br>		25	5		2004-01-07 13:27:30	997		Test Examples							Taxable Goods	1	EOREOR
HIDEQTY	1_small.jpg	Hide Quantity Box	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br><br>    This will add 1 to the Shopping Cart when Add to Cart is hit.  <br><br>    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br><br>    Because the Image name is: 1_small.jpg<br>  and stored in the /images directory ...  <br><br>    The other matching images will show:  <br><br>  /images/1_small_00.jpg<br>  /images/1_small_02.jpg<br>  /images/1_small_03.jpg  <br><br>    The matching large images from /images/large will show:  <br><br>  /images/large/1_small_00_LRG.jpg<br>  /images/large/1_small_02_LRG.jpg<br>  /images/large/1_small_03_LRG.jpg  <br><br>    A matching image must begin with the same exact name as the Product Image and end in the same extention.  <br><br>    These will then auto load.  <br><br>		75	1		2004-01-11 03:02:51	1000		Test Examples							Taxable Goods	1	EOREOR
FreeShippingNoWeight	small_00.jpg	Free Shipping Product without Weight	This product has Free Shipping.  <br><br>    The weight is set to 0  <br><br>    It has the Always Free Shipping set to NO and the Free Shipping Module is installed but it will still ship for Free.  <br><br>    In the Configruation settings for Shipping/Packaging ... Order Free Shipping 0 Weight Status has been defined to be Free Shipping.  <br><br>    NOTE: if that setting is changed, then this product will NOT ship for free, even though the weight is set to 0.  <br><br>		25	0		2004-01-21 01:41:22	995		Test Examples							Taxable Goods	1	EOREOR
SoldOut	small_00.jpg	A Sold Out Product	This product is Sold Out because the product quantity is <= 0  <br><br>    Because the Configuration Settings in Stock are defined that Sold Out Products are not disabled and Sold Out cannot be purchased, the add to cart buttons are changed to either the large or small Sold Out image.  <br><br>    If you change the Configuration Settings in Stock, then you will be able to purchase this product, even though it is Sold Out.  <br><br>		25	3		2004-01-21 01:53:20	0	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
HIDEQTYBOX	1_small.jpg	Hide Quantity Box Methods	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br><br>    While Quantity Box Shows is set to YES, the Product Qty Max has been set to 1    This will add only 1 to the Shopping Cart when Add to Cart is hit.  <br><br>    The reason for this is that this is a download. As a download, there is never a reason to allow more than quantity 1 to be ordered.  <br><br>    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br><br>    Two methods are available to trigger the Hide Quantity Box.  <br><br>    Method 1: Set Quantity Box Shows to NO  <br><br>    Method 2: Set Qty Maximum to 1  <br><br>    In either case, you will only be able to add qty 1 to the shopping cart and the quantity box will not show.  <br><br>		75	1		2004-01-21 22:01:20	1000	Hewlett Packard	Test Examples							Taxable Goods	0	EOREOR
TESTFREE	free.gif	A Free Product - SALE	This is a free product that is also on special.  <br>    This should show as having a price, special price but then be free.  <br>		100	1		2003-12-25 19:14:16	998	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
TESTCALL	call_for_price.jpg	A Call for Price Product SALE	This is a Call for Price product that is also on special and has a Sale price via Sale Maker.  <br><br>    This should show as having a price, special price but then be Call for Price. This means you cannot buy it.  <br><br>    The Add to Cart buttons automatically change to Call for Price, which is defined as: TEXT_CALL_FOR_PRICE  <br><br>    This link will take the customer to the Contact Us page.  <br><br>		100	1		2003-12-25 19:13:35	999	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
TESTFREEATTRIB	free.gif	A Free Product with Attributes	This is a free product that is also on special.  <br><br>    This should show as having a price, special price but then be free.  <br><br>    Attributes can be added that can optionally be set to free or not free  <br><br>    The Color Red attribute is priced at $5.00 but marked as a Free Attribute when the Product is Free  <br><br>    The Size Medium attribute is priced at $1.00 but marked as a Free Attribute when Product is Free		100	0		2003-12-25 20:44:06	999	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
Free1	b_g_grid.gif	Free Ship & Payment Virtual weight 10	Free Shipping and Payment  <br><br>    The Price is set to 25.00 ... but what makes it Free is that this product has been marked as:  <br>  Product is Free: Yes  <br><br>    This would allow the product to be listed with a price, but the actual charge is $0.00  <br><br>    The weight is set to 10 but could be set to 0. What really makes it truely Free Shipping is that it has been marked to be Always Free Shipping.  <br><br>    Always Free shipping is set to: Yes<br>  This will not charge for shipping, but requres a shipping address.  <br><br>    Because there is no shipping and the price is 0, the Zen Cart Free Charge comes up for the payment module and the other payment modules vanish.  <br><br>    You can change the text on the Zen Cart Free Charge module to read as you would prefer.  <br><br>    Note: if you add products that incur a charge or shipping charge, then the Zen Cart Free Charge payment module will vanish and the regular payment modules will show.		25	10		2003-12-28 11:51:05	998	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
Free2	b_p_grid.gif	Free Ship & Payment Virtual	Product Price is set to 0  <br><br>    Payment weight is set to 2 ...  <br><br>    Virtual is ON ... this will skip shipping address  <br><br>		0	2		2003-12-28 12:24:58	997	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
TESTFREEALL	free.gif	A Free Product - All	This is a free product where there are no prices at all.  <br><br>    The Always Free Shipping is also turned ON.  <br><br>    If this is bought seperately, the Zen Cart Free Charge payment module will show if there is no charges on shipping.  <br><br>    If other products are purchased with a price or shipping charge, then the Zen Cart Free Charge payment module will not show and the shipping will be applied accordingly.		0	1		2003-12-31 11:36:09	998	Hewlett Packard	Free Call Stuff							Taxable Goods	0	EOREOR
TESTCALL	call_for_price.jpg	A Call No Price	This is a Call for Price product with no price<br>    This should show as having a price, special price but then be Call for Price. This means you cannot buy it.  <br>		0	1	2006-02-21 00:00:00	2004-09-27 13:25:44	999		Free Call Stuff							Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Test 10% by Attrib							Taxable Goods	0	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes SALE	The Product Price is set to 0.00  <br><br>    The Product Priced by Attributes is set to YES  <br><br>    The attribute prices are defined without the price prefix of +  <br><br>    The Display Price is made up of the lowest attribute price from each Option Name group.  <br><br>    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br><br>    The price prefix of the + is not used as we are not "adding" to the display price.  <br><br>    The Colors attributes are set for the discount to be applied, their prices before the discount are:<br>  White $499.99<br>  Black $519.00<br>  Blue $539.00<br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	0	45		2003-12-24 14:29:11	700	Hewlett Packard	Test 10% by Attrib							Taxable Goods	1	EOREOR
Test25-10AttrAll	test_demo.jpg	TEST 25% special 10% Sale Attribute Priced	Priced by Attributes - Product price is set to $0.00  <br><br>  All attributes are marked to make the price.    <br><br>  Product is $0  <br><br>  Special is 25%  <br><br>  Sale is 10%  <br><br>		0	0		2004-01-04 01:09:46	1000	Hewlett Packard	Test 10% by Attrib							Taxable Goods	0	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes SALE with Special	The Product Price is set to 0.00  <br><br>    The Product Priced by Attributes is set to YES  <br><br>    The attribute prices are defined without the price prefix of +  <br><br>    The Display Price is made up of the lowest attribute price from each Option Name group.  <br><br>    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br><br>    The price prefix of the + is not used as we are not "adding" to the display price.  <br><br>    The Colors attributes are set for the discount to be applied, their prices before the discount are:<br>  White $499.99<br>  Black $519.00<br>  Blue $539.00<br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	0	45		2004-01-08 14:06:13	700	Hewlett Packard	Test 10% by Attrib							Taxable Goods	1	EOREOR
Test120-5	test_demo.jpg	TEST $120 Sale -$5.00	Product is $120  <br><br>  Sale is -$5.00  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-04 14:50:38	1000	Hewlett Packard	Sale Deduction	$5.00 off						Taxable Goods	0	EOREOR
Test120-90-5	test_demo.jpg	TEST $120 Special $90.00 Sale -$5.00	Product is $120  <br><br>    Special $90.00 or 25%  <br><br>    Sale is -$5.00  <br><br>      Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-04 15:01:53	1000	Hewlett Packard	Sale Deduction	$5.00 off						Taxable Goods	0	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
TESTFREE	free.gif	A Free Product - SALE	This is a free product that is also on special.  <br>    This should show as having a price, special price but then be free.  <br>		100	1		2003-12-25 19:14:16	998	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
TESTCALL	call_for_price.jpg	A Call for Price Product SALE	This is a Call for Price product that is also on special and has a Sale price via Sale Maker.  <br><br>    This should show as having a price, special price but then be Call for Price. This means you cannot buy it.  <br><br>    The Add to Cart buttons automatically change to Call for Price, which is defined as: TEXT_CALL_FOR_PRICE  <br><br>    This link will take the customer to the Contact Us page.  <br><br>		100	1		2003-12-25 19:13:35	999	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
TESTCALL	call_for_price.jpg	A Call for Price Product SALE	This is a Call for Price product that is also on special and has a Sale price via Sale Maker.  <br><br>    This should show as having a price, special price but then be Call for Price. This means you cannot buy it.  <br><br>    The Add to Cart buttons automatically change to Call for Price, which is defined as: TEXT_CALL_FOR_PRICE  <br><br>    This link will take the customer to the Contact Us page.  <br><br>		100	1		2003-12-25 19:13:35	999		Test 10%							Taxable Goods	1	EOREOR
TESTFREE	free.gif	A Free Product - SALE	This is a free product that is also on special.  <br>    This should show as having a price, special price but then be free.  <br>		100	1		2003-12-25 19:14:16	998		Test 10%							Taxable Goods	1	EOREOR
MINUNITSMIXSALE	b_b_grid.gif	Min and Units MIX - Sale	This product is purchased based on minimums and units.  <br><br>    The Min is set to 6 and the units is set to 3  <br><br>    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br><br>    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br><br>    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br><br>    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br><br>    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br><br>    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br><br>    Product Quantity Min/Unit Mix is for when a product has attributes.  <br><br>    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br><br>    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br><br>    This product has the Product Qty Min/Unit Mix set to ON  <br><br>    This product has been placed on Sale via Sale Maker		25	1		2003-12-31 11:11:46	991	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
MINUNITSNOMIXSALE	b_w_grid.gif	Min and Units NOMIX - Sale	This product is purchased based on minimums and units.  <br><br>    The Min is set to 6 and the units is set to 3  <br><br>    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br><br>    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br><br>    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br><br>    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br><br>    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br><br>    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br><br>    Product Quantity Min/Unit Mix is for when a product has attributes.  <br><br>    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br><br>    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br><br>    This product has the Product Qty Min/Unit Mix set to OFF  <br><br>    This product has been put on Sale via Sale Maker.		25	1		2003-12-31 11:13:08	991	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked to be discounted also.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:34:55	699	Hewlett Packard	Test 10%							Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Test 10%							Taxable Goods	1	EOREOR
Test25-10	test_demo.jpg	TEST 25% special 10% Sale	Product is $100.00  <br><br>  Special is 25%  <br><br>  Sale is 10%  <br><br>		100	0		2004-01-03 23:08:33	1000	Hewlett Packard	Test 10%							Taxable Goods	0	EOREOR
