v_products_model	v_attribute_options_id_1	v_attribute_options_name_1_1	v_attribute_options_id_2	v_attribute_options_name_2_1	v_attribute_values_id_2_1	v_attribute_values_price_2_1	v_attribute_values_name_2_1_1	v_attribute_values_id_2_2	v_attribute_values_price_2_2	v_attribute_values_name_2_2_1	v_attribute_values_id_2_3	v_attribute_values_price_2_3	v_attribute_values_name_2_3_1	v_attribute_values_id_2_4	v_attribute_values_price_2_4	v_attribute_values_name_2_4_1	v_attribute_values_id_2_5	v_attribute_values_price_2_5	v_attribute_values_name_2_5_1	v_attribute_values_id_2_6	v_attribute_values_price_2_6	v_attribute_values_name_2_6_1	v_attribute_values_id_2_7	v_attribute_values_price_2_7	v_attribute_values_name_2_7_1	v_attribute_values_id_2_8	v_attribute_values_price_2_8	v_attribute_values_name_2_8_1	v_attribute_values_id_2_9	v_attribute_values_price_2_9	v_attribute_values_name_2_9_1	v_attribute_values_id_2_10	v_attribute_values_price_2_10	v_attribute_values_name_2_10_1	v_attribute_values_id_2_11	v_attribute_values_price_2_11	v_attribute_values_name_2_11_1	v_attribute_values_id_2_12	v_attribute_values_price_2_12	v_attribute_values_name_2_12_1	v_attribute_options_id_3	v_attribute_options_name_3_1	v_attribute_values_id_3_1	v_attribute_values_price_3_1	v_attribute_values_name_3_1_1	v_attribute_values_id_3_2	v_attribute_values_price_3_2	v_attribute_values_name_3_2_1	v_attribute_values_id_3_3	v_attribute_values_price_3_3	v_attribute_values_name_3_3_1	v_attribute_values_id_3_4	v_attribute_values_price_3_4	v_attribute_values_name_3_4_1	v_attribute_values_id_3_5	v_attribute_values_price_3_5	v_attribute_values_name_3_5_1	v_attribute_options_id_4	v_attribute_options_name_4_1	v_attribute_values_id_4_1	v_attribute_values_price_4_1	v_attribute_values_name_4_1_1	v_attribute_values_id_4_2	v_attribute_values_price_4_2	v_attribute_values_name_4_2_1	v_attribute_values_id_4_3	v_attribute_values_price_4_3	v_attribute_values_name_4_3_1	v_attribute_values_id_4_4	v_attribute_values_price_4_4	v_attribute_values_name_4_4_1	v_attribute_values_id_4_5	v_attribute_values_price_4_5	v_attribute_values_name_4_5_1	v_attribute_options_id_5	v_attribute_options_name_5_1	v_attribute_values_id_5_1	v_attribute_values_price_5_1	v_attribute_values_name_5_1_1	v_attribute_values_id_5_2	v_attribute_values_price_5_2	v_attribute_values_name_5_2_1	v_attribute_values_id_5_3	v_attribute_values_price_5_3	v_attribute_values_name_5_3_1	v_attribute_values_id_5_4	v_attribute_values_price_5_4	v_attribute_values_name_5_4_1	v_attribute_values_id_5_5	v_attribute_values_price_5_5	v_attribute_values_name_5_5_1	v_attribute_options_id_6	v_attribute_options_name_6_1	v_attribute_values_id_6_1	v_attribute_values_price_6_1	v_attribute_values_name_6_1_1	v_attribute_values_id_6_2	v_attribute_values_price_6_2	v_attribute_values_name_6_2_1	v_attribute_values_id_6_3	v_attribute_values_price_6_3	v_attribute_values_name_6_3_1	v_attribute_values_id_6_4	v_attribute_values_price_6_4	v_attribute_values_name_6_4_1	v_attribute_values_id_6_5	v_attribute_values_price_6_5	v_attribute_values_name_6_5_1	v_attribute_values_id_6_6	v_attribute_values_price_6_6	v_attribute_values_name_6_6_1	v_attribute_options_id_7	v_attribute_options_name_7_1	v_attribute_values_id_7_1	v_attribute_values_price_7_1	v_attribute_values_name_7_1_1	v_attribute_values_id_7_2	v_attribute_values_price_7_2	v_attribute_values_name_7_2_1	v_attribute_values_id_7_3	v_attribute_values_price_7_3	v_attribute_values_name_7_3_1	v_attribute_options_id_8	v_attribute_options_name_8_1	v_attribute_values_id_8_1	v_attribute_values_price_8_1	v_attribute_values_name_8_1_1	v_attribute_options_id_9	v_attribute_options_name_9_1	v_attribute_values_id_9_1	v_attribute_values_price_9_1	v_attribute_values_name_9_1_1	v_attribute_options_id_10	v_attribute_options_name_10_1	v_attribute_values_id_10_1	v_attribute_values_price_10_1	v_attribute_values_name_10_1_1	v_attribute_options_id_11	v_attribute_options_name_11_1	v_attribute_values_id_11_1	v_attribute_values_price_11_1	v_attribute_values_name_11_1_1	v_attribute_options_id_12	v_attribute_options_name_12_1	v_attribute_values_id_12_1	v_attribute_values_price_12_1	v_attribute_values_name_12_1_1	v_attribute_options_id_13	v_attribute_options_name_13_1	v_attribute_values_id_13_1	v_attribute_values_price_13_1	v_attribute_values_name_13_1_1	v_attribute_options_id_14	v_attribute_options_name_14_1	v_attribute_values_id_14_1	v_attribute_values_price_14_1	v_attribute_values_name_14_1_1	v_attribute_values_id_14_2	v_attribute_values_price_14_2	v_attribute_values_name_14_2_1	v_attribute_values_id_14_3	v_attribute_values_price_14_3	v_attribute_values_name_14_3_1	v_attribute_values_id_14_4	v_attribute_values_price_14_4	v_attribute_values_name_14_4_1	v_attribute_values_id_14_5	v_attribute_values_price_14_5	v_attribute_values_name_14_5_1	v_attribute_values_id_14_6	v_attribute_values_price_14_6	v_attribute_values_name_14_6_1	v_attribute_options_id_15	v_attribute_options_name_15_1	v_attribute_values_id_15_1	v_attribute_values_price_15_1	v_attribute_values_name_15_1_1	v_attribute_values_id_15_2	v_attribute_values_price_15_2	v_attribute_values_name_15_2_1	v_attribute_values_id_15_3	v_attribute_values_price_15_3	v_attribute_values_name_15_3_1	v_attribute_values_id_15_4	v_attribute_values_price_15_4	v_attribute_values_name_15_4_1	v_attribute_values_id_15_5	v_attribute_values_price_15_5	v_attribute_values_name_15_5_1	v_attribute_values_id_15_6	v_attribute_values_price_15_6	v_attribute_values_name_15_6_1	v_attribute_options_id_16	v_attribute_options_name_16_1	v_attribute_values_id_16_1	v_attribute_values_price_16_1	v_attribute_values_name_16_1_1	v_attribute_values_id_16_2	v_attribute_values_price_16_2	v_attribute_values_name_16_2_1	v_attribute_values_id_16_3	v_attribute_values_price_16_3	v_attribute_values_name_16_3_1	v_attribute_options_id_17	v_attribute_options_name_17_1	v_attribute_values_id_17_1	v_attribute_values_price_17_1	v_attribute_values_name_17_1_1	v_attribute_values_id_17_2	v_attribute_values_price_17_2	v_attribute_values_name_17_2_1	v_attribute_values_id_17_3	v_attribute_values_price_17_3	v_attribute_values_name_17_3_1	v_attribute_values_id_17_4	v_attribute_values_price_17_4	v_attribute_values_name_17_4_1	v_attribute_values_id_17_5	v_attribute_values_price_17_5	v_attribute_values_name_17_5_1	v_attribute_values_id_17_6	v_attribute_values_price_17_6	v_attribute_values_name_17_6_1	v_attribute_values_id_17_7	v_attribute_values_price_17_7	v_attribute_values_name_17_7_1	v_attribute_values_id_17_8	v_attribute_values_price_17_8	v_attribute_values_name_17_8_1	v_attribute_values_id_17_9	v_attribute_values_price_17_9	v_attribute_values_name_17_9_1	v_attribute_options_id_18	v_attribute_options_name_18_1	v_attribute_values_id_18_1	v_attribute_values_price_18_1	v_attribute_values_name_18_1_1	v_attribute_values_id_18_2	v_attribute_values_price_18_2	v_attribute_values_name_18_2_1	v_attribute_options_id_19	v_attribute_options_name_19_1	v_attribute_values_id_19_1	v_attribute_values_price_19_1	v_attribute_values_name_19_1_1	v_attribute_values_id_19_2	v_attribute_values_price_19_2	v_attribute_values_name_19_2_1	v_attribute_options_id_20	v_attribute_options_name_20_1	v_attribute_values_id_20_1	v_attribute_values_price_20_1	v_attribute_values_name_20_1_1	v_attribute_options_id_21	v_attribute_options_name_21_1	EOREOR
MSIMEXP	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8	+0.0000	PS/2	9	+6.0000	USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
HPLJ1100XI	0	67	1	Color	15	+539.0000	Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29	+519.0000	Black	30	+499.0000	White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1	+50.0000	4 mb	2	+75.0000	8 mb	3	+100.0000	16 mb	4		32 mb	46	+0.0000	None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
GIFT005	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
GIFT 010	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
GIFT025	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
GIFT050	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
GIFT100	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
DVD-ABUG	0	67	1	Color	15	+0.4000	Blue	16	+0.1000	Red	17	+0.3000	Yellow	25	+0.2000	Orange	26	+0.0000	Green	27	+0.0000	Purple	28	+0.0000	Brown	29		Black	30	+0.0000	White	31	+0.0000	Silver	32		Gold	45		NONE	2	Size	18	+0.0000	Medium	19	+0.0000	X-Small	20	+0.0000	Large	21	+0.0000	Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24	+1.0000	20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14	+36.9900	DVD/VHS Combo Pak	22	+1.0000	VHS	23	+0.0000	DVD	7	Logo Back	0	+0.2500	TEXT	8	Logo Front	0	+0.2500	TEXT	9	Line 2	0	+0.7500	TEXT	10	Line 1	0	+0.5000	TEXT	11	Line 3	0	+1.0000	TEXT	12	Line 4	0		TEXT	13	Gift Options	34	+1.0000	Wrapping	35	+5.0000	Autographed Memorabilia Card	36	+2.0000	Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
HPLJ1100XI	0	67	1	Color	15	539.0000	Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29	519.0000	Black	30	499.0000	White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1	+50.0000	4 mb	2	+75.0000	8 mb	3	+100.0000	16 mb	4		32 mb	46	+0.0000	None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
HPLJ1100XI	0	67	1	Color	15	539.0000	Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29	519.0000	Black	30	499.0000	White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1	+50.0000	4 mb	2	+75.0000	8 mb	3	+100.0000	16 mb	4		32 mb	46	+0.0000	None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
TESTFREE	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
TESTCALL	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
TESTCALL	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
TESTFREE	0	67	1	Color	15		Blue	16		Red	17		Yellow	25		Orange	26		Green	27		Purple	28		Brown	29		Black	30		White	31		Silver	32		Gold	45		NONE	2	Size	18		Medium	19		X-Small	20		Large	21		Small	37		Select from below ...	3	Model	5		Value	6		Premium	7		Deluxe	8		PS/2	9		USB	4	Memory	1		4 mb	2		8 mb	3		16 mb	4		32 mb	46		None	5	Version	10		Download: Windows - English	13		Box: Windows - English	24		20th Century	52		Download: Windows - Spanish	64		Download: MAC - English	68		Book Hard Cover	6	Media Type	14		DVD/VHS Combo Pak	22		VHS	23		DVD	7	Logo Back	0		TEXT	8	Logo Front	0		TEXT	9	Line 2	0		TEXT	10	Line 1	0		TEXT	11	Line 3	0		TEXT	12	Line 4	0		TEXT	13	Gift Options	34		Wrapping	35		Autographed Memorabilia Card	36		Collector's Tin	44		Select from below ...	47		Embossed Collector's Tin	48		None	14	Amount	38		$5.00	39		$10.00	40		$25.00	41		$15.00	42		$50.00	43		$100.00	15	Features	49		Custom Handling	50		Same Day Shipping	51		Quality Design	16	Irons	53		3 Iron	54		4 Iron	55		5 Iron	56		6 Iron	57		9 Iron	58		Wedge	59		7 Iron	60		8 Iron	61		2 Iron	17	Documentation	62		PDF - English	63		MS Word - English	18	Length	65		per Foot	66		per Yard	19	Shipping	67		Free Shipping Included!	67	1	EOREOR
